"bonus part 1 question","bonus part 1 answer","bonus part 2 question","bonus part 2 answer","bonus part 3 question","bonus part 3 answer"
"The constitution was adopted by the “commonwealth” between this country and its northern neighbor Lithuania. Soon after, this country was partitioned three times among its neighbors.","Poland [accept Commonwealth of Poland; accept Polish-Lithuanian Commonwealth]","The May 3rd Constitution was inspired by this other country’s constitution, which was written in 1787 to replace its Articles of Confederation.","United States of America [or U.S.A; accept any underlined portion]","The May 3rd Constitution was nullified due to Russian bribery at a 1793 meeting of this parliament of the Commonwealth. It shares its name with the lower house of Poland’s modern-day parliament.","Sejm [“same”] [accept Grodno Sejm] <European History — June Yin> [Ed. Louis Li]"
"Give this term for molten rock on the Earth’s surface. It is contrasted with magma.","lava [accept pillow lavas]","This volcanic rock names a type of fast-flowing lava with a low proportion of silica [SILL-ih-kuh]. The solidification of this rock creates shield volcanoes in places like Hawaii.","basalt [buh-SALT] [accept basaltic lava or rock]","This Hawaiian term refers to lava flows with a rough, jagged surface that is difficult to walk across. It is contrasted with a smoother type of lava known by a different name.","a’a [ah-ah] (The other type is pahoehoe [puh-HO-ay-HO-ay].) <Earth Science — June Yin> [Ed.]"
"Name this author. In another work, this author wrote about Pelayo, who keeps the title senile character in a chicken coop.","Gabriel García Márquez","This lifelong enemy of Gabriel Garcia Marquez fictionalized the day of Rafael Trujillo’s assassination in his novel The Feast of the Goat. This author also wrote Aunt Julia and the Scriptwriter.","Mario Vargas Llosa [prompt on “Llosa” alone]","Vargas Llosa and Garcia Marquez are both authors who blend fantasy with the careful depiction of daily life, a genre known as the “magical” form of this broader style. This style seeks to represent things as they actually are.","realism [accept magical realism or magic realism] <Long Fiction — Tanay Bodducherla> [Ed. Joel Miles]"
"Name this substance, which as part of the Black is Beautiful movement, was stylized into afros, cornrows, and dreadlocks.","human hair","This activist advised “Do not remove the kinks from your hair; remove the kinks from your brain” in support of natural Black hair. This activist founded the Black Star Line as part of the “Back to Africa” movement.","Marcus Garvey","The Marcel Wave and Josephine Baker’s Eton Crop were hairstyles popular amongst this generation of women in the 1920s exemplified by Clara Bow’s “It Girl” wearing revealing dresses and androgynous hairstyles.","flappers <American History — Ganon Evans> [Ed. Louis Li]"
"Because he got hungry, the pig was the twelfth and last animal to finish a race hosted by the Jade Emperor that determined this twelve-year calendar. 2022 is the year of the Tiger in this calendar.","Chinese zodiac [prompt on the Chinese calendar]","This nasty piggy was sent to ravage an Aetolian [ee-tol-EE-an] kingdom by Artemis after King Oeneus [EE-nee-us] forgot to include her in his offerings. This boar was hunted by heroes like Meleager and Atalanta.","Calydonian Boar","This Norse goddess’s servant Óttar turned into the boar Hildisvíni for her to ride into battle. This daughter of Njord had a similarly named brother who owned a boar whose bristles glowed in the dark.","Freyja [or Freya; or Freyia; or Freja; reject “Freyr”] <Mythology — Gigi Chen> [Ed. Ganon Evans]"
"Austin’s accomplishment is sometimes misattributed to this contemporary dancer who was the first Black principal dancer at the American Ballet Theatre.","Misty Copeland","One of Austin’s lead roles was for Filipo Taglioni’s La Sylphide, which was written to show off this technique. A special box in ballet shoes helps dancers perform this technique which involves moving on the tips of the toes.","en pointe [on pwant]","Austin was known for her ability to perform these types of moves. Examples of these steps in ballet include the pas de chat and grand jeté in which both feet leave the ground.","jumps [or leaps] <Other Fine Arts — Vik Wei> [Ed. Ganon Evans]"
"In May 2022, Boris Johnson was fined for violating his own COVID-19 regulations during one of these events at 10 Downing Street in 2020. Finnish PM Sanna Marin attracted controversy for her conduct at one of these events.","parties [accept equivalents like social gatherings; accept Partygate]","In June 2022, 41 percent of this body’s Conservative members submitted no-confidence votes against Johnson. This body, divided into the House of Lords and the House of Commons, meets in the Palace of Westminster.","British Parliament [or Parliament of the United Kingdom]","Johnson resigned in July 2022 shortly after several ministers left his cabinet, including this former Chancellor of the Exchequer. This MP was announced as Liz Truss’s successor in October 2022.","Rishi Sunak <Current Events—Connor Lee> [Ed.] Note to Players: Composer and Genre required."
"This law describes the electric field due to one or more point charges. A constant appearing in this law equals one over 4 pi times the permittivity.","Coulomb's law","Coulomb’s law states that electrostatic force is proportional to the inverse square of this quantity. Gravitational force drops off with the square of this quantity by Newton’s law of universal gravitation.","distance [accept radius; accept displacement]","The differential form of this law holds that the divergence of an electric field is equal to the charge density divided by the permittivity. Newton used its analogue for gravity to prove the shell theorem.","Gauss’s law [accept Gauss’s flux theorem; reject “Gauss's law for magnetism”] <Physics — Vincent Wang> [Ed. June Yin]"
"Name this leader of Libya and author of The Green Book who was killed in Sirte during Libya’s 2011 civil war.","Muammar Gaddafi [or Qaddafi or Kaddafi or Muammar Muhammad Abu Minyar al-Gaddafi]","Gaddafi accepted responsibility for the bombing of Pan Am Flight 103 over this Scottish town. The Helsinki warning was received before that bombing named for this town.","Lockerbie, Scotland [accept Lockerbie bombing]","After Pan Am Flight 73 was hijacked on the ground in this country, Gaddafi paid the American victims $150 million. Another act of terrorism saw this country’s PM Benazir Bhutto assassinated in 2007.","Pakistan [or Islamic Republic of Pakistan or Jamhuryat Islami Pakistan] <World History — Andrew Gao> [Ed. Ganon Evans]"
"Both Lensky from Eugene Onegin [oh-NAY-gin] and his creator Alexander Pushkin died during what type of event, in which two men pace apart from each other then shoot?","duels [accept word forms such as dueling]","The nihilist doctor Bazarov treats Pavel’s leg after wounding him in a duel in this author’s novel Fathers and Sons. This author’s time with peasants inspired his collection A Sportsman’s Sketches.","Ivan Turgenev [ee-VAHN tur-GAIN-yev]","The protagonist of this Fyodor Dostoyevsky book believes he is dueling a policeman by bumping into him on the street in its section “Apropos [a-pruh-POH] of the Wet Snow,” and rants about the Crystal Palace and ideal living from the title location.","Notes from Underground [or Notes from the Underground or Letters from the Underworld] <Long Fiction — Ganon Evans> [Ed. Joel Miles]"
"Name these objects which enable humans and some primates to interact with their environment. Basic examples include hammers and axes.","tools","This thinker observed monkeys using stones to open nuts in his book The Descent of Man. Herbert Spencer applied this thinker’s ideas to society, which were then used to justify eugenics.","Charles (Robert) Darwin","Jane Goodall observed chimpanzees using grass to “fish” for termites during her seven decades of research in this Tanzanian national park. Kasakela chimps murdered Kahama chimps in a four-year animal war in this park.","Gombe (Stream) National Park <Social Science — Ganon Evans> [Ed. June Yin]"
"Over 100 hostages were rescued by Mossad during what 1976 event, in which Michel Bacos was awarded the Legion of Honor for staying with passengers of Air France Flight 139?","Operation Entebbe [or Operation Thunderbolt; accept answers mentioning a military raid at Entebbe International Airport; accept Operation Jonathan]","A member of this family, Yonatan, led the Entebbe raid. Another member of this family is a Likud Party Prime Minister who bribed the media company Bezeq for positive coverage in 2019.","Netanyahu family [accept Benjamin “Bibi” Netanyahu; accept Yonatan “Yoni” Netanyahu]","Entebbe Airport is in this country, near its capital Kampala. Hostage-takers were supported by Idi Amin, a former dictator of this country.","Uganda [or Republic of Uganda] <World History — Andrew Gao> [Ed. Louis Li]"
"Name this novel in which Yu challenges Liang to gather 100,000 arrows in 3 days, so Liang creates boats manned by straw figures to lure volleys of arrows from Cao Cao’s [tsow tsow’s] army.","Romance of the Three Kingdoms [or Sanguo Yanyi]","To assuage Zhou Yu prior to this battle, Zhuge Liang conducts a fake ritual to change the direction of the wind. Guan Yu [gwan yoo] fails to intercept Cao Cao [tsao tsao] at Huarong [hwah-rohng] trail after his defeat at this battle.","Battle of the Red Cliffs [or the Battle of Chibi]","Zhuge Liang’s genius military strategies are often compared to those of this author. This minister emphasized harmony with one’s army in his treatise The Art of War.","Sun Tzu [or Sun Zi; or Sun Wu; or Changqing] <Long Fiction — Joy An> [Ed. Joel Miles]"
"Name this singer that released the albums folklore and evermore. In November 2021, she released the self-directed film ""All Too Well"" after a re-recording of her album Red.","Taylor (Alison) Swift","This aforementioned verité documentary details Swift's life as she learns to ""harness the full power of her voice"" by breaking from the mold of a ""good girl.""","Taylor Swift: Miss Americana","Taylor Swift: Miss Americana draws its name from the 2019 song ""Miss Americana & the Heartbreak Prince"" in this album, which also features ""Me!"" and ""You Need to Calm Down.""","Lover <Pop Culture — Vincent Wang> [Ed. Ganon Evans]"
"Name this Winslow Homer painting of a Black man stranded on a small boat in the middle of the ocean.","The Gulf Stream","Homer’s painting The Gulf Stream depicts several of these animals. A painting by John Singleton Copley depicts one of these animals attacking Brook Watson off of the coast of Havana Harbor.","sharks [accept Watson and the Shark]","The sharks in Homer’s The Gulf Stream inspired damned souls biting the title ship in this artist’s The Barque of Dante. During his Orientalist phase, this artist painted three women sitting in an ornate room around a hookah pipe.","Eugène Delacroix [del-uh-krwah] <Visual Fine Arts — June Yin> [Ed. Gabe Forrest]"
"In the 1950s and 60s, Chester M. Southam injected these cancer cells into uninformed patients. George Gey isolated this first immortal human cell line without consent from the donor.","HeLa [HEE-lah] cells","In 1955-57 over 100 Alaska Natives were given doses of radioactive iodine without being informed, to test the role of this butterfly-shaped gland in adapting to cold.","thyroid gland","As part of Project MKULTRA, the CIA administered this hallucinogenic drug to non-consenting individuals. This drug’s inventor Albert Hofmann famously rode a bicycle under its influence.","LSD [or lysergic acid diethylamide] <Biology — June Yin> [Ed.]"
"Name this island in the Cyclades which hosted the Athenian treasury and thus lent its name to Athens’ alliance of city-states.","Delos [accept the Delian League]","Delos’s importance as a port waned after it was sacked by this king of Pontus who fought the Romans in Anatolia. This ruler allegedly developed a method of ingesting non-lethal amounts of poison to build immunity.","Mithridates VI Eupator [or Mithridates the Great; accept Mithridatism]","Delos was a slave trading hub for groups of these people from Cilicia who later kidnapped Julius Caesar. Pompey waged war against these people who attack and raid ships at sea.","pirates [accept Cilician pirates] <European History — Ganon Evans> [Ed.]"
"Name this African country whose flag resembles the U.S.’s except for containing a single star in its upper left.","Liberia [or Republic of Liberia]","Liberia’s county flag designs were inspired by this art form practiced by women using tripod devices. A Ghanian example of this art form is known as kente [KEN-tay].","textiles [accept weaving; accept answers mentioning cloth or fabric or quilts]","The flag of Maryland County depicts one of these buildings on Cape Palmas, which guided ships into the port of Harper. These tower-like buildings often have red and white stripes.","lighthouses <Other — June Yin> [Ed. Ganon Evans]"
"Name this quantity that may be expressed in light-years or parsecs.","distance [accept answers indicating how far an object is from Earth]","The tip of the red giant branch is a feature on this diagram, which plots the luminosity of stars against their temperature. A diagonal line across this diagram represents the “main sequence.”","Hertzprung-Russell diagram [or H-R diagram]","When stars leave the tip of the red giant branch, they experience a “flash” named after this element, in which it is rapidly fused into carbon.","helium [or He; accept helium flash] <Astronomy — Joy An> [Ed. June Yin]"
"Name this author, who created the character Aunt Lydia, “who was in love with either/or,” in the novel The Handmaid’s Tale.","Margaret Atwood","The speaker of Atwood’s poem “[you fit into me]” says, “you fit into me / like a hook into [one of these body parts.]” In The Handmaid’s Tale, Gilead’s police force is named after this body part.","eyes [accept The Eye]","This woman declares “This is a torch song. / Touch me and you'll burn” in an Atwood poem titled for her doing “Countertop Dancing.” In Doctor Faustus, this woman is referred to as “the face that launched a thousand ships.”","Helen of Troy [accept “Helen of Troy Does Countertop Dancing”] <Mixed Literature — Rachel Ezrielev> [Ed. Joel Miles]"
"In his hermaphrodite form Ardhanarishvara [uhr-duh-nuh-REESH-vuh-ruh], Shiva is combined with this other god. This goddess was born after Sati [SUH-tee] threw herself into a funeral pyre.","Parvati [accept Uma]","Shiva is often depicted riding Nandi [NUN-dee], a white one of these animals. The slaughter of these animals is taboo across many Hindu states in India.","cows [accept cattle; accept bull; accept steer]","In his Nataraja [NUH-tuh-rah-juh] form, Shiva performs this action. Kali performs this action on top of Shiva in an attempt to destroy the world.","dancing [accept the Lord of the Dance] <Mythology — Braden Booth> [Ed. Ganon Evans]"
"His formulation was based on a function called the Lagrangian [luh-GRAHN-jee-un], defined as kinetic energy minus this other type of energy that objects have due to their position.","potential energy","Performing this operation on the Lagrangian yields a quantity called “action.” This operation performed on power gives the change in energy.","time integral [or equivalents like integrating with respect to time; prompt on integral or equivalents]","Noether’s theorem holds that this quantity is conserved due to the Lagrangian’s symmetry under translations in space. Unlike kinetic energy, this quantity is conserved in inelastic collisions.","(linear) momentum [accept conservation of momentum] <Physics — Vincent Wang> [Ed. June Yin]"
"Name these thought processes, which form the basis of G. E. Moore’s ethical system. Daniel Dennett argued that thought experiments like the Chinese Room are overly reliant on “pumping” these processes.","moral intuitions [or ethical intuitions; accept intuition pumps or intuitionism]","Ethical intuitions and the interactions of our emotions with morality are studied by the “moral” subfield of this discipline. Jean Piaget [jon pee-ah-ZHAY] was a pioneer of this study of behavior.","moral psychology [accept word forms like psychologist]","Crowdsourced moral psychology research includes the Moral Machine project, which helps these things make decisions. The ability of these things to save some lives over others in an unavoidable accident is controversial.","self-driving cars [or driverless cars or robotic cars; accept descriptions of cars that can drive themselves; prompt on cars or AI or robots; reject “trollies”] <Philosophy — Joel Miles> [Ed.]"
"Name this character. This character judges a contest between Aeschylus [“ESS-kuh-luss”] and Euripides [“your-IP-uh-deez”] and chooses to allow Aeschylus to return to life.","Dionysus","Dionysus travels to the underworld with his slave Xanthias [“ZAN-thee-us”] in this play by Aristophanes [“air-uh-STAW-fuh-neez”]. The title characters of this play chant “brekekekex, ko-ax, ko-ax!”","The Frogs [or Bátrakhoi]","The Frogs opens with Dionysus consulting this hero for advice while wearing this hero’s lion skin, only for this hero to laugh at his getup. This hero traveled to the underworld to retrieve Cerberus as part of his twelve labors.","Heracles [or Hercules] <Drama — Joy An> [Ed. Joel Miles]"
"Name this state, where irregularities such as “butterfly ballots” and “hanging chads” combined with Cuban upset over the treatment of Elián González may have swung an election.","Florida [or FL]","In Florida’s Palm Beach County, “butterfly ballots” may have led hundreds of Gore voters to instead cast their vote for this Reform Party nominee. This paleoconservative coined the terms “silent majority” and “culture wars.”","Pat Buchanan [or Pat Buchanan]","Florida’s electoral votes ultimately went to this presidential candidate. The Iraq War was launched by this President in response to the September 11th attacks.","George W. Bush [or Bush 43 or George Walker Bush or Bush Jr. or Bush the Younger; prompt on George Bush; prompt on Dubya; do NOT accept or prompt on “George H.W. Bush”] <American History — Connor Lee> [Ed. Louis Li]"
"Indonesia’s new capital of Nusantara is being built on this island shared with Brunei and Malaysia. The popular online Orangutan Jungle School is located on this island.","Borneo","This country moved its capital to Naypyidaw in 2005. This Asian country also contains the city of Mandalay, and the Irrawaddy River flows through this country into the Andaman Sea.","Myanmar [or Burma; or Union of Burma; or Pyidaungzu Thammada Myanma Naingngandaw; or Republic of the Union of Myanmar]","This country began moving its capital from Bujumbura to Gitega in 2018. A giant man-eating crocodile named Gustave ate over 300 people along this country’s northern shores of Lake Tanganyika.","Burundi [or Republic of Burundi; or Republique du Burundi; or Republika y’u Burundi] <Geography — Connor Lee> [Ed. Ganon Evans]"
"Name these objects that Major Kong attempts to use against Laputa, to the consternation of those in the War Room. These objects cause a discussion about a “mineshaft gap” and female-to-male ratios.","nuclear bombs [accept equivalents such as nukes; accept atomic bombs; prompt on bombs; do not accept or prompt on “rockets” or “missiles”]","Nuclear bombs trigger a Doomsday Machine in this 1964 film after General Ripper launches Plan R. Peter Sellers plays this film’s title wheelchair-using scientist who is unable to control giving a Nazi salute.","Dr. Strangelove (or: How I Learned to Stop Worrying and Love the Bomb)","Dr. Strangelove’s concrete War Room was carefully designed by this man. This director also created the films A Clockwork Orange and 2001: A Space Odyssey.","Stanley Kubrick <Other Fine Arts — Nathan Nicholas> [Ed. Ganon Evans]"
"Langston Hughes was a poet from what 1920s movement centered in a majority African-American neighborhood in New York City?","Harlem Renaissance","This Langston Hughes poem describes the title features as ""ancient as the world and older than the flow of blood in human veins"" and goes on to describe the speaker ""bathed in the Euphrates"" and having ""heard the singing of the Mississippi.”","""The Negro Speaks of Rivers""","This Harlem Renaissance poet exclaimed ""We’ll face the murderous, cowardly pack / Pressed to the wall, dying, but fighting back!"" in his poem “If We Must Die.” This Jamaican-born author wrote the collection Harlem Shadows.","Claude McKay <Poetry — Tanay Bodducherla> [Ed. Joel Miles]"
"Violin students may learn Vittorio Monti’s Czardas [CHAR-dash], which is based on a dance from this home country of Franz Lizst. Brahms wrote a series of dances based on themes from this country.","Hungary [or Magyarorzág; accept Hungarian Dances]","Solo violin works by this composer include the 5th movement Chaconne from his D-minor Partita No. 2. This composer also wrote the Brandenburg Concertos and the Well-Tempered Clavier.","Johann Sebastian Bach","Another piece you are probably very familiar with is the “Meditation” from Thaïs, an opera by this composer. He also wrote the operas Manon and Werther.","Jules Massenet <Auditory Fine Arts — Joy An> [Ed. Ganon Evans]"
"Name this company, which was created by Lázaro Cárdenas in 1938 when he nationalized Mexico’s oil industry.","Pemex [or Petróleos Mexicanos or Mexican Petroleum]","Cárdenas was a member of this political party that held continuous power from 1929 to 2000. Under this party’s Dedazo system, the president would appoint his successor.","PRI [or Institutional Revolutionary Party; or Partido Revolucionario Institucional; or PNR; or Partido Nacional Revolucionario; or National Revolutionary Party; or PRM; or Partido de la Revolución Mexicana; or Party of the Mexican Revolution]","Pemex served as a model for Petrobrás, an oil company owned by the government of this country. This country’s president Getulio Vargas committed suicide in his Rio de Janeiro Palace a year after founding Petrobrás.","Brazil [or Federative Republic of Brazil or República Federativa do Brasil] <World History — Joel Miles> [Ed. Louis Li]"
"Dresselhaus was known as the “queen” of this nonmetallic element due to her extensive work on its allotropes [AL-uh-trohps], such as nanotubes and graphite.","carbon [or C]","Dresselhaus pioneered the study of carbon allotropes using Raman [RAH-mun] spectroscopy, which measures this kind of molecular motion that comes in six distinct “modes.”","molecular vibrations [or vibrational motion or vibrating; accept vibrational modes]","Dresselhaus also studied this semiconducting carbon allotrope that consists of a single flat honeycombed sheet.","graphene [GRAPH-een] <Chemistry — June Yin> [Ed.]"
"Name these objects, one of which grows from a bar of iron thrown by Queen Jadis. Lucy later meets Mr. Tumnus next to one of these objects.","a lamppost [or a street lamp; prompt on lamp]","The beginning of this land is marked by a constantly-burning lamppost. The Pevensie siblings find the entrance to this magical land in their wardrobe in a C.S. Lewis novel.","Narnia [accept The Chronicles of Narnia: The Lion, The Witch, and the Wardrobe]","Lewis’s first work of fiction was a parody of this novel. Christian’s struggles with the Great Despair while trying to reach the Celestial City in this novel have been compared to Narnia’s own Christian meanings.","The Pilgrim’s Progress <Long Fiction — Joy An> [Ed. Ganon Evans]"
"Name this title animal of a piece integrated into a piano quintet in A major, whose voice line changes from major to minor after a fisherman catches this animal.","trout [or The Trout; accept the Trout Quintet; accept Die Forelle; prompt on fish]","This composer worked variations on Die Forelle [dee for-ELL-uh] into his Trout Quintet. Because this composer only wrote two movements of his eighth symphony, it is called the Unfinished Symphony.","Franz Schubert","As Schubert’s Die Forelle sets a poem by the unrelated Schubart, it is this type of piece usually written for solo voice and piano. His Der Erlkönig and Gretchen at the Spinning Wheel are also this type of piece.","lieder [leeder] [or songs] <Auditory Fine Arts — Joy An> [Ed. Ganon Evans]"
"Name these locations observed from a deck called a hojo. Raking patterns like scrolls and waves give gravel in these locations the appearance of rippling water.","Japanese rock gardens [or Zen gardens; or stone gardens; or karensangui; or dry gardens; or dry landscapes; prompt on gardens]","Ryōan-ji’s subtle arrangement like a tree may have appealed to monks studying how this figure achieved Enlightenment after sitting under the Bodhi Tree. Followers of this figure recognize the Four Noble Truths.","The Buddha [or Siddhartha Gautama]","Zen Buddhism branched off from this school which preaches that people should stay in samsara, become bodhisattvas, and help other people, unlike arhats in the Theravada School.","Mahayana Buddhism <Religion — Vincent Wang> [Ed. Ganon Evans]"
"Name this color that partially names a Han Dynasty peasant revolt led by the Taoist mystic Zhang Jue [jung jway].","yellow [Accept Yellow Turban Rebellion]","A dragon on a yellow field was the flag of this Chinese dynasty. Puyi was the last emperor of this dynasty, which was succeeded by the Republic of China.","Qing [cheeng] dynasty [reject “Qin [chin]”]","In modern times, the color yellow in China has been associated with these objects used by Hong Kong protesters. These namesakes of a 2014 “Movement” have been used to shield protesters from tear gas.","umbrellas [or parasols; accept Yellow Umbrella Movement] <World History — Connor Lee> [Ed. Louis Li]"
"Name this staple crop in the genus Zea [ZEE-uh], a member of the Three Sisters. Types of it include “field” and “sweet.”","corn [or maize or Zea mays]","In the U.S., corn is often processed into a type of syrup “high” in this sugar that is sweeter than glucose. As its name suggests, it is common in fruits.","fructose [accept high-fructose corn syrup]","While studying inheritance in corn, Barbara McClintock discovered these genetic elements that include LINEs [lines] and SINEs [sines]. They make up about 50 percent of the human genome.","transposons [or transposable elements or jumping genes] <Biology — June Yin> [Ed.]"
"Name this novel about the end of the world, which opens with a conversation between the angel Aziraphale and a snake named Crawley right after the fall of man.","Good Omens","Good Omens is a collaboration between Neil Gaiman and this author. A flat planet balanced on four elephants balancing on a turtle moving through space is the setting for this author’s Discworld series.","Terry Pratchett","Gaiman’s works in this genre include a book where the Other Mother tries to convince the title girl to sew buttons into her eyes, Coraline. Other books in this genre include The Very Hungry Caterpillar by Eric Carle.","children’s books [accept reasonable equivalents such as books for children; accept children’s literature; accept kiddie lit] <Other — Joy An> [Ed. Ganon Evans]"
"Name these three colors that Piet Mondrian made many ""Compositions"" with. In addition to gray and white, Mondrian's Broadway Boogie Woogie uses these three colors.","red, blue, and yellow [accept in any order; prompt on the primary colors]","Though he once used triangles, Mondrian refused to use shapes other than this one in his paintings. Kazimir Malevich’s White on White depicts one of these shapes, which is a typical shape for a painting’s frame.","squares [accept rectangles; prompt on quadrilaterals]","Despite not using black, Broadway Boogie Woogie exemplifies this Dutch art movement that advocates for restricting visual compositions to horizontal and vertical elements while only using black, white, and primary colors.","De Stijl [“duh STYLE”] [accept Neoplasticism] <Visual Fine Arts — Vincent Wang> [Ed. Gabe Forrest] Note to Moderators: Read the answerline carefully. Note to Players: Specific Term Required."
"Name this author with a one-word pen name. In another story by this author, Mr. Nuttel is terrified to see three hunters who supposedly died in a bog walking back to the house through the title ‘Open Window”.","Saki [or Hector Hugh Munro]","In this Saki story, Ulrich and Georg reconcile a familial feud after being trapped under a tree. They make bets on whose men will arrive to rescue them first, but end up being discovered by wolves at the end of this story instead.","“The Interlopers”","In another Saki story, the Quabarls insist that children should be introduced “to the life-stories of men and women who really lived, not merely committing a mass of names and dates to memory” when studying this subject. Herodotus is known as the “father” of this discipline.","history (The unnamed story is “The Schartz-Metterklume Method.”) <Mixed Literature — Joy An> [Ed. Joel Miles]"
"Name these materials that experience zero electrical resistance.","superconductors","The first superconductor created above the boiling point of nitrogen was an alloy of this rare-earth element along with barium, copper, and oxygen.","yttrium [or Y; accept yttrium barium copper oxide; prompt on YBCO]","In 2020 scientists claimed to have made a room-temperature superconductor by reacting carbon, sulfur, and hydrogen in an extremely high-pressure “anvil cell” that uses two crystals of this material.","diamond [accept diamond anvil cells; prompt on DACs] <Physics — June Yin> [Ed.]"
"Aubrey Eberhardt began the tradition of shouting the name of this Apache chief in reference to him jumping off a cliff near Fort Sill.","Geronimo [or Goyaałé]","The 101st Airborne Division was deployed to protect this group of students who were barred from entering a Southern high school by Orval Faubus’s National Guard.","Little Rock Nine","During Operation Torch, paratroopers attacked Vichy forces in the eastern neighbor of this country to provide support for Operation Goalpost. This country was the first to recognize the United States under Mohammed III.","Morocco <American History — Ganon Evans> [Ed. Louis Li]"
"Name these automobile components that use a platinum-based catalyst to turn toxic gases from the engine into less-toxic pollutants.","catalytic converters","Two-way catalytic converters facilitate this type of reaction that creates carbon dioxide from carbon monoxide. Electrons are lost during this type of reaction, in contrast to reduction.","oxidation [or oxidizing or oxidized]","A tetraethyl compound with this metal at its center causes catalyst poisoning in catalytic converters, leading to fuels using the compound to be phased out in the 1970s.","(tetraethyl) lead [prompt on TEL] <Chemistry — Neal Joshi> [Ed. June Yin]"
"Name this only non-English-language film ever to win Best Animated Feature. In this Studio Ghibli film, Chihiro finds a bathhouse for ghosts and meets the dragon Haku.","Spirited Away [or Sen to Chihiro no Kamikakushi]","The Ghibli film Porco Rosso centers on a bounty hunter with this profession cursed to be a pig. Tom Cruise’s character has this profession in Top Gun: Maverick.","fighter pilot [accept aviator; accept dogfighter]","The music for most Studio Ghibli films is by this composer, known for pieces such as “Summer” from Spirited Away and “Merry-Go-Round of Life” from Howl’s Moving Castle.","Joe Hisaishi <Popular Culture — Gigi Chen> [Ed. Ganon Evans]"
"Name this home country of Miles Franklin. Oskar and Lucinda bet over whether they can move a glass church across this country in a novel by one of its authors, Peter Carey.","Australia [or Commonwealth of Australia]","Carey used the character Bob McCorkle to mirror the controversy surrounding Ern Malley, a poet with this trait, in a novel titled My Life as a person with this trait.","they’re fictional [accept descriptions like they don’t exist or are made up; accept My Life as a Fake]","Carey’s novel Jack Maggs is a retelling of Great Expectations, a novel by this author who also wrote Oliver Twist.","Charles Dickens [or Charles John Huffan Dickens] <Long Fiction — Rachel Ezrielev> [Ed. Joel Miles]"
"Name this 1959 album by a notoriously grumpy jazz bassist. This album includes an elegy for the saxophonist Lester Young called “Goodbye Pork Pie Hat.”","Mingus Ah Um","1959 saw the release of several other iconic jazz albums, including this musician’s Kind of Blue. This trumpet player arranged the piece Concierto de Aranjuez for his album Sketches of Spain.","Miles Davis","This Dave Brubeck album was also released in 1959. Unorthodox time signature choices in this album include the 9/8 opening of “Blue Rondo à la Turk” and a track entirely in 5/4 [five-four], “Take Five.”","Time Out <Other Fine Arts — Joy An> [Ed. Ganon Evans]"
"Name this good possibly introduced to Europe after the Battle of Mohi. Robert Catesby fled London after 36 barrels of this good were discovered under Parliament on November 5th, 1605.","gunpowder [accept the Gunpowder Plot]","The Gunpowder Plot was an attempt to kill the first Stuart king with this name, who commissioned an eponymous English translation of the Bible.","James [accept James I [“the first”]; accept King James Bible]","An interactive exhibit in this location shows where Guy Fawkes confessed his participation in the Gunpowder Plot. Richard of Shrewsbury and Edward V were murdered in this location near the end of the War of the Roses.","Tower of London [prompt on the Tower; prompt on Princes in the Tower] <European History — Ganon Evans> [Ed. Louis Li]"
"Name this animal, one of whom tricks Reynard the Fox into opening his mouth to taunt in the Nun’s Priest’s Tale.","chicken [accept roosters; accept fowls]","The Slavic figure Koschei [kuh-SHAY] hides his soul inside a needle inside an egg inside a duck inside a hare inside a chest on a deserted island to maintain this trait. Tantalus tried to steal ambrosia and nectars, which grant this trait.","immortality [accept word forms such as being immortal; accept equivalents such as not dying or living forever; accept being deathless]","In Polish and Hungarian folklore, cockatrices and basilisks hatch from chicken eggs and kill people in this manner. Staring into Medusa’s eyes caused this fate in Greek myth.","turning to stone [accept obvious equivalents; accept petrification; prompt on death or dying] <Mythology — Ganon Evans> [Ed.]"
"Name this base used by computers that only includes 0’s and 1’s.","binary [accept base-2]","In an XOR cipher, strings are encrypted using these entities. These things can be either “public” or “private” depending on how accessible they are.","keys","Cryptography algorithms commonly utilize these “one-way” functions to scramble input data. One of these functions called MD5 is now considered obsolete due to a new function that produces its “collisions.”","hash functions [accept hashing] <Computer Science — Danny Peelen> [Ed. Jason Xu]"
"Name this set of conflicts. Mobutu Sese Seko was ousted in the first of these conflicts, while his rival Laurent Kabila was killed during the second.","Congo Wars [or Congo Crises; or Congolese Civil Wars; accept First and Second Congo Wars]","The Congo Wars were catalyzed in part by this ethnic group, which fled to the DRC from a neighboring country to escape Hutu persecution.","Tutsis [or Abatutsis]","This country’s namesake genocide against its Tutsi population was ended by its president Paul Kagame, who led this country to invade the DRC during the Congo Wars.","Rwanda [or Republic of Rwanda or Republika y’u Rwanda] <World History—Connor Lee> [Ed. Louis Li]"
